job_role,education,Technical skills,Soft skills,Tools & frameworks,Years of experience,resume_paragraph,combined_text,clean_text
Data Scientist,BSc in Computer Science,"data visualization, data analysis, project management, html, pandas, linux, git","communication, teamwork, adaptability","team collaboration, git",12,"MSc in Information Technology graduate with 9 years of experience.
        Skilled in data visualization, data analysis, project management, html, pandas, linux, git.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science data visualization, data analysis, project management, html, pandas, linux, git communication, teamwork, adaptability team collaboration, git 12 MSc in Information Technology graduate with 9 years of experience.
        Skilled in data visualization, data analysis, project management, html, pandas, linux, git.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science data visualization data analysis project management html pandas linux git communication teamwork adaptability team collaboration git 12 msc information technology graduate 9 years experience skilled data visualization data analysis project management html pandas linux git experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Data Scientist,BSc in Computer Science,"linux, git, agile methodology, problem solving, machine learning, data visualization","communication, teamwork, adaptability","java, docker",2,"MSc in Information Technology graduate with 4 years of experience.
        Skilled in linux, git, agile methodology, problem solving, machine learning, data visualization.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science linux, git, agile methodology, problem solving, machine learning, data visualization communication, teamwork, adaptability java, docker 2 MSc in Information Technology graduate with 4 years of experience.
        Skilled in linux, git, agile methodology, problem solving, machine learning, data visualization.
        Participated in cross-functional team projects.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science linux git agile methodology problem solving machine learning data visualization communication teamwork adaptability java docker 2 msc information technology graduate 4 years experience skilled linux git agile methodology problem solving machine learning data visualization participated crossfunctional team projects passionate learning emerging technologies improving system efficiency
Data Scientist,MSc in Information Technology,"python, data visualization, problem solving, agile methodology, statistics, linux","communication, teamwork, adaptability","system design, linux",2,"MSc in Information Technology graduate with 2 years of experience.
        Skilled in python, data visualization, problem solving, agile methodology, statistics, linux.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology python, data visualization, problem solving, agile methodology, statistics, linux communication, teamwork, adaptability system design, linux 2 MSc in Information Technology graduate with 2 years of experience.
        Skilled in python, data visualization, problem solving, agile methodology, statistics, linux.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology python data visualization problem solving agile methodology statistics linux communication teamwork adaptability system design linux 2 msc information technology graduate 2 years experience skilled python data visualization problem solving agile methodology statistics linux worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
Data Scientist,Bachelor of Engineering,"linux, problem solving, wireframing, pandas, numpy, docker, aws","communication, teamwork, adaptability","project management, data analysis",9,"MSc in Information Technology graduate with 8 years of experience.
        Skilled in linux, problem solving, wireframing, pandas, numpy, docker, aws.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","Bachelor of Engineering linux, problem solving, wireframing, pandas, numpy, docker, aws communication, teamwork, adaptability project management, data analysis 9 MSc in Information Technology graduate with 8 years of experience.
        Skilled in linux, problem solving, wireframing, pandas, numpy, docker, aws.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",bachelor engineering linux problem solving wireframing pandas numpy docker aws communication teamwork adaptability project management data analysis 9 msc information technology graduate 8 years experience skilled linux problem solving wireframing pandas numpy docker aws contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Data Scientist,Diploma in Software Development,"git, statistics, data analysis, numpy, system design, python","communication, teamwork, adaptability","sql, linux",3,"MSc in Information Technology graduate with 8 years of experience.
        Skilled in git, statistics, data analysis, numpy, system design, python.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development git, statistics, data analysis, numpy, system design, python communication, teamwork, adaptability sql, linux 3 MSc in Information Technology graduate with 8 years of experience.
        Skilled in git, statistics, data analysis, numpy, system design, python.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development git statistics data analysis numpy system design python communication teamwork adaptability sql linux 3 msc information technology graduate 8 years experience skilled git statistics data analysis numpy system design python contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Data Scientist,Diploma in Software Development,"docker, data analysis, numpy, agile methodology, system design, statistics","communication, teamwork, adaptability","agile methodology, java",7,"BSc in Computer Science graduate with 3 years of experience.
        Skilled in docker, data analysis, numpy, agile methodology, system design, statistics.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development docker, data analysis, numpy, agile methodology, system design, statistics communication, teamwork, adaptability agile methodology, java 7 BSc in Computer Science graduate with 3 years of experience.
        Skilled in docker, data analysis, numpy, agile methodology, system design, statistics.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development docker data analysis numpy agile methodology system design statistics communication teamwork adaptability agile methodology java 7 bsc computer science graduate 3 years experience skilled docker data analysis numpy agile methodology system design statistics completed internships retail support environments passionate learning emerging technologies improving system efficiency
Data Scientist,MSc in Information Technology,"python, data visualization, linux, team collaboration, system design, machine learning","communication, teamwork, adaptability","problem solving, python",12,"BSc in Computer Science graduate with 5 years of experience.
        Skilled in python, data visualization, linux, team collaboration, system design, machine learning.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology python, data visualization, linux, team collaboration, system design, machine learning communication, teamwork, adaptability problem solving, python 12 BSc in Computer Science graduate with 5 years of experience.
        Skilled in python, data visualization, linux, team collaboration, system design, machine learning.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology python data visualization linux team collaboration system design machine learning communication teamwork adaptability problem solving python 12 bsc computer science graduate 5 years experience skilled python data visualization linux team collaboration system design machine learning contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Data Scientist,BSc in Computer Science,"team collaboration, java, statistics, numpy, linux, project management","communication, teamwork, adaptability","agile methodology, aws",8,"MSc in Information Technology graduate with 9 years of experience.
        Skilled in team collaboration, java, statistics, numpy, linux, project management.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science team collaboration, java, statistics, numpy, linux, project management communication, teamwork, adaptability agile methodology, aws 8 MSc in Information Technology graduate with 9 years of experience.
        Skilled in team collaboration, java, statistics, numpy, linux, project management.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science team collaboration java statistics numpy linux project management communication teamwork adaptability agile methodology aws 8 msc information technology graduate 9 years experience skilled team collaboration java statistics numpy linux project management experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Data Scientist,MSc in Information Technology,"linux, data visualization, aws, python, pandas, git","communication, teamwork, adaptability","project management, problem solving",9,"BSc in Computer Science graduate with 9 years of experience.
        Skilled in linux, data visualization, aws, python, pandas, git.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology linux, data visualization, aws, python, pandas, git communication, teamwork, adaptability project management, problem solving 9 BSc in Computer Science graduate with 9 years of experience.
        Skilled in linux, data visualization, aws, python, pandas, git.
        Completed internships in retail and IT support environments.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology linux data visualization aws python pandas git communication teamwork adaptability project management problem solving 9 bsc computer science graduate 9 years experience skilled linux data visualization aws python pandas git completed internships retail support environments passionate learning emerging technologies improving system efficiency
Data Scientist,BSc in Computer Science,"numpy, agile methodology, docker, team collaboration, statistics, git","communication, teamwork, adaptability","git, system design",2,"Diploma in Software Development graduate with 9 years of experience.
        Skilled in numpy, agile methodology, docker, team collaboration, statistics, git.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","BSc in Computer Science numpy, agile methodology, docker, team collaboration, statistics, git communication, teamwork, adaptability git, system design 2 Diploma in Software Development graduate with 9 years of experience.
        Skilled in numpy, agile methodology, docker, team collaboration, statistics, git.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",bsc computer science numpy agile methodology docker team collaboration statistics git communication teamwork adaptability git system design 2 diploma software development graduate 9 years experience skilled numpy agile methodology docker team collaboration statistics git contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Data Scientist,MSc in Information Technology,"team collaboration, agile methodology, git, pandas, system design, statistics","communication, teamwork, adaptability","linux, project management",8,"Bachelor of Engineering graduate with 2 years of experience.
        Skilled in team collaboration, agile methodology, git, pandas, system design, statistics.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology team collaboration, agile methodology, git, pandas, system design, statistics communication, teamwork, adaptability linux, project management 8 Bachelor of Engineering graduate with 2 years of experience.
        Skilled in team collaboration, agile methodology, git, pandas, system design, statistics.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology team collaboration agile methodology git pandas system design statistics communication teamwork adaptability linux project management 8 bachelor engineering graduate 2 years experience skilled team collaboration agile methodology git pandas system design statistics experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Data Scientist,Diploma in Software Development,"system design, data analysis, numpy, data visualization, problem solving, agile methodology","communication, teamwork, adaptability","problem solving, data analysis",1,"Diploma in Software Development graduate with 6 years of experience.
        Skilled in system design, data analysis, numpy, data visualization, problem solving, agile methodology.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development system design, data analysis, numpy, data visualization, problem solving, agile methodology communication, teamwork, adaptability problem solving, data analysis 1 Diploma in Software Development graduate with 6 years of experience.
        Skilled in system design, data analysis, numpy, data visualization, problem solving, agile methodology.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development system design data analysis numpy data visualization problem solving agile methodology communication teamwork adaptability problem solving data analysis 1 diploma software development graduate 6 years experience skilled system design data analysis numpy data visualization problem solving agile methodology contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Data Scientist,MSc in Information Technology,"docker, java, pandas, data analysis, aws, data visualization","communication, teamwork, adaptability","java, problem solving",9,"MSc in Information Technology graduate with 5 years of experience.
        Skilled in docker, java, pandas, data analysis, aws, data visualization.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology docker, java, pandas, data analysis, aws, data visualization communication, teamwork, adaptability java, problem solving 9 MSc in Information Technology graduate with 5 years of experience.
        Skilled in docker, java, pandas, data analysis, aws, data visualization.
        Contributed to open source community initiatives.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology docker java pandas data analysis aws data visualization communication teamwork adaptability java problem solving 9 msc information technology graduate 5 years experience skilled docker java pandas data analysis aws data visualization contributed open source community initiatives passionate learning emerging technologies improving system efficiency
Data Scientist,MSc in Information Technology,"pandas, project management, python, team collaboration, java, data visualization","communication, teamwork, adaptability","docker, python",7,"MSc in Information Technology graduate with 7 years of experience.
        Skilled in pandas, project management, python, team collaboration, java, data visualization.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","MSc in Information Technology pandas, project management, python, team collaboration, java, data visualization communication, teamwork, adaptability docker, python 7 MSc in Information Technology graduate with 7 years of experience.
        Skilled in pandas, project management, python, team collaboration, java, data visualization.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",msc information technology pandas project management python team collaboration java data visualization communication teamwork adaptability docker python 7 msc information technology graduate 7 years experience skilled pandas project management python team collaboration java data visualization worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
Data Scientist,Diploma in Software Development,"docker, machine learning, linux, routing protocols, problem solving, team collaboration, statistics","communication, teamwork, adaptability","team collaboration, system design",3,"BSc in Computer Science graduate with 1 years of experience.
        Skilled in docker, machine learning, linux, routing protocols, problem solving, team collaboration, statistics.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development docker, machine learning, linux, routing protocols, problem solving, team collaboration, statistics communication, teamwork, adaptability team collaboration, system design 3 BSc in Computer Science graduate with 1 years of experience.
        Skilled in docker, machine learning, linux, routing protocols, problem solving, team collaboration, statistics.
        Experience in client communication and requirement gathering.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development docker machine learning linux routing protocols problem solving team collaboration statistics communication teamwork adaptability team collaboration system design 3 bsc computer science graduate 1 years experience skilled docker machine learning linux routing protocols problem solving team collaboration statistics experience client communication requirement gathering passionate learning emerging technologies improving system efficiency
Data Scientist,Diploma in Software Development,"data analysis, agile methodology, sql, pandas, java, data visualization","communication, teamwork, adaptability","project management, agile methodology",10,"BSc in Computer Science graduate with 10 years of experience.
        Skilled in data analysis, agile methodology, sql, pandas, java, data visualization.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.","Diploma in Software Development data analysis, agile methodology, sql, pandas, java, data visualization communication, teamwork, adaptability project management, agile methodology 10 BSc in Computer Science graduate with 10 years of experience.
        Skilled in data analysis, agile methodology, sql, pandas, java, data visualization.
        Worked on university robotics projects and hackathons.
        Passionate about learning emerging technologies and improving system efficiency.",diploma software development data analysis agile methodology sql pandas java data visualization communication teamwork adaptability project management agile methodology 10 bsc computer science graduate 10 years experience skilled data analysis agile methodology sql pandas java data visualization worked university robotics projects hackathons passionate learning emerging technologies improving system efficiency
